Date,Close,Open,High,Low,Change %
2019-02-03,71.462,71.462,71.462,71.462,0.04%
2019-02-01,71.435,71.115,71.485,70.952,0.67%
2019-01-31,70.96,70.959,71.215,70.865,-0.39%
2019-01-30,71.235,71.423,71.423,71.123,-0.22%
2019-01-29,71.39,71.085,71.461,71.026,0.45%
2019-01-28,71.07,70.92,71.196,70.915,0.12%
2019-01-27,70.985,70.9,70.985,70.9,0.12%
2019-01-25,70.9,71.04,71.25,70.89,-0.14%
2019-01-24,71,71.147,71.315,70.955,-0.27%
2019-01-23,71.19,71.24,71.37,71.115,-0.10%
2019-01-22,71.26,71.197,71.466,71.165,0.10%
2019-01-21,71.188,71.205,71.538,71.14,-0.07%
2019-01-20,71.24,71.255,71.255,71.24,0.04%
2019-01-18,71.21,71.04,71.274,70.987,0.23%
2019-01-17,71.05,71.146,71.416,70.972,0.10%
2019-01-16,70.98,71.11,71.265,70.934,-0.17%
2019-01-15,71.1,70.75,71.156,70.723,0.48%
2019-01-14,70.76,70.4,70.95,70.36,0.54%
2019-01-13,70.38,70.38,70.38,70.38,-0.03%
2019-01-11,70.398,70.43,70.602,70.356,-0.03%
2019-01-10,70.42,70.53,70.655,70.318,-0.20%
2019-01-09,70.56,70.11,70.647,70.05,0.60%
2019-01-08,70.14,69.806,70.24,69.765,0.48%
2019-01-07,69.803,69.532,69.953,69.255,0.39%
2019-01-06,69.535,69.535,69.535,69.535,-0.02%
2019-01-04,69.55,70.115,70.145,69.55,-0.80%
2019-01-03,70.11,70.3,70.531,70.034,0.16%
2019-01-02,70,69.469,70.255,69.469,0.79%
2019-01-01,69.453,69.635,69.745,69.435,-0.17%
2018-12-31,69.57,69.783,69.946,69.57,-0.52%
2018-12-30,69.933,69.933,69.933,69.933,0.00%
2018-12-28,69.933,70.151,70.151,69.885,-0.61%
2018-12-27,70.361,70.088,70.404,70.088,0.42%
2018-12-26,70.07,70.065,70.17,69.755,0.03%
2018-12-25,70.05,70.05,70.05,70.05,-0.08%
2018-12-24,70.105,70.151,70.296,69.873,-0.06%
2018-12-23,70.15,70.14,70.15,70.14,0.01%
2018-12-21,70.14,70.003,70.32,69.75,0.23%
